BookID,Chapter,TotalVerses,WordCountKjv,ReadingTimeInSecondsKjvScourby
42,20,47,954,326
42,21,38,820,298
42,22,71,1396,500
42,23,56,1117,400
42,24,53,1055,376
43,1,51,1004,383
43,2,25,510,185
43,3,36,763,288
43,4,54,1094,422
43,5,47,1001,363
43,6,71,1506,521
43,7,53,1002,360
43,8,59,1307,479
43,9,41,876,324
43,10,42,820,309
43,11,57,1157,461
43,12,50,1060,382
43,13,38,826,319
43,14,31,731,282
43,15,27,613,226
43,16,33,789,281
43,17,26,636,240
43,18,40,947,356
43,19,42,1010,381
43,20,31,749,272
43,21,25,693,262
44,1,26,661,254
44,2,47,1021,385
44,3,26,634,241
44,4,37,865,298
44,5,42,1026,353
44,6,15,355,135
44,7,60,1430,520
44,8,40,883,321
44,9,43,1046,378
44,10,48,1108,418
44,11,30,667,250
44,12,25,662,239
44,13,52,1272,488
44,14,28,627,231
44,15,41,925,352
44,16,40,943,337
44,17,34,855,313
44,18,28,664,250
44,19,41,975,350
44,20,38,882,314
44,21,40,1067,377
44,22,30,773,277
44,23,35,921,320
44,24,27,640,243
44,25,27,711,257
44,26,32,781,290
44,27,44,1033,367
44,28,31,818,263
45,1,32,714,271
45,2,29,604,219
45,3,31,562,211
45,4,25,546,199
45,5,21,480,175
45,6,23,484,177
45,7,25,605,208
45,8,39,903,326
45,9,33,719,264
45,10,21,461,170
45,11,36,818,316
45,12,21,397,165
45,13,14,361,146
45,14,23,525,209
45,15,33,742,266
45,16,27,501,209
46,1,31,649,232
46,2,16,373,137
46,3,23,459,181
46,4,21,509,186
46,5,13,321,109
46,6,20,465,162
46,7,40,959,320
46,8,13,309,106
46,9,27,671,222
46,10,33,667,239
46,11,34,718,233
46,12,31,593,206
46,13,13,270,109
46,14,40,887,314
46,15,58,1166,416
46,16,24,446,157
47,1,24,591,213
47,2,17,401,138
47,3,18,389,125
47,4,18,406,141
47,5,21,487,168
47,6,18,357,136
47,7,16,452,151
47,8,24,568,183
47,9,15,355,138
47,10,18,437,162
47,11,33,718,289
47,12,21,589,201
47,13,14,315,111
48,1,24,453,175
48,2,21,573,219
48,3,29,648,272
48,4,31,610,246
48,5,26,447,212
48,6,18,353,157
49,1,23,508,194
49,2,22,453,197
49,3,21,410,166
49,4,32,617,264
49,5,33,564,255
49,6,24,470,206
50,1,30,632,242
50,2,30,601,232
50,3,21,483,195
50,4,23,467,206
51,1,29,656,255
51,2,23,503,203
51,3,25,457,200
51,4,18,363,146
52,1,10,253,98
52,2,20,479,186
52,3,13,295,112
52,4,18,396,152
52,5,28,414,174
53,1,12,291,109
53,2,17,381,151
53,3,18,350,138
54,1,20,432,176
54,2,15,247,102
54,3,16,324,128
54,4,16,310,121
54,5,25,470,180
54,6,21,461,178
55,1,18,438,163
55,2,26,506,206
55,3,17,297,134
55,4,22,425,178
56,1,16,337,149
56,2,15,265,119
56,3,15,294,130
57,1,25,430,181
58,1,14,338,134
58,2,18,472,182
58,3,19,362,143
58,4,16,404,159
58,5,14,321,121
58,6,20,425,166
58,7,28,607,218
58,8,13,387,125
58,9,28,678,237
58,10,39,784,303
58,11,40,922,363
58,12,29,696,285
58,13,25,501,204
59,1,27,544,221
59,2,26,528,216
59,3,18,378,152
59,4,17,369,134
59,5,20,485,173
60,1,25,597,222
60,2,25,549,218
60,3,22,551,202
60,4,19,479,175
60,5,14,300,123
61,1,21,488,192
61,2,22,581,236
61,3,18,484,199
62,1,10,247,94
62,2,29,736,288
62,3,24,534,223
62,4,21,480,199
62,5,21,520,202
63,1,13,298,112
64,1,14,294,117
65,1,25,608,265
66,1,20,592,228
66,2,29,802,301
66,3,22,658,249
66,4,11,348,132
66,5,14,435,172
66,6,17,540,205
66,7,17,491,202
66,8,13,397,164
66,9,21,592,217
66,10,11,353,133
66,11,19,580,236
66,12,17,497,196
66,13,18,538,186
66,14,20,651,242
66,15,8,252,94
66,16,21,567,213
66,17,18,522,211
66,18,24,747,324
66,19,21,634,262
66,20,15,477,175
66,21,27,749,307
66,22,21,573,239
